"-- Choose --","-- Selecteer --"
"Product Tax Class","Product BTW Klasse"
"Reeleezee Vat Code","Reeleezee BTW Code"
"Add Mapping","Maak Koppeling"
"Reeleezee Vat Group","Reeleezee BTW Groep"
"Reeleezee","Reeleezee"
"Settings","Instellingen"
"Reeleezee Username","Reeleezee Gebruikersnaam"
"Reeleezee Password","Reeleezee Wachtwoord"
"Enable Test Mode","Test Modus Inschakelen"
"Test mode will NOT transfer data to Reeleezee, but will show Success or Failure messages when creating invoices through the admin backend. This is useful for testing your configuration settings.","De test modus verstuurt GEEN data naar Reeleezee, maar toont wel Succes- of Foutmeldingen bij het aanmaken van facturen in de admin. Dit is nuttig bij het testen van de account instellingen."
"Enable Debug Mode","Debug Modus Inschakelen"
"Debug mode will store the request and result XML data in a database table called 'reeleezee_api_debug'. Useful for developers.","De debug modus slaat de request en result XML data op in de database tabel 'reeleezee_api_debug'. Zinvol voor ontwikkelaars."
"Shipping","Verzending"
"Shipping tax settings are found under the VAT and Taxes tab.","Verzending BTW instellingen vind u onder de tab BTW en Belasting."
"Shipping Unit Code","Verzendeenheid"
"Select the shipping unit code.","Selecteer de verzendeenheid, bijv. Stuk (ST)."
"Shipping Account Reference","Grootboeknummer Voor Verzending"
"You must enter a number, e.g. 4402.","U moet een geldig nummer opgeven, bijv. 4402."
"Shipping SKU","Verzend SKU"
"You must enter an SKU, e.g. SHIPPINGCOST.","U moet een SKU opgeven, bijv. PORTIKOSTEN."
"VAT and Taxes","BTW en Belasting"
"You must enter a default number, e.g. 8010.","U moet een standaard grootboeknummer voor producten en diensten opgeven, bijv. 8010."
"Default Account Reference","Standaard Grootboeknummer"
"Always use default","Altijd standaard gebruiken"
"If you have an account reference attribute, otherwise leave to Always use default.","Indien u een product-attribuut gebruikt voor het grootboeknummer, dan kunt het uit deze lijst selecteren. U dient dit attribuut eerst zelf aan te maken. Indien u geen attribuut wenst te gebruiken, selecteer dan 'Altijd standaard gebruiken'."
"Account Reference Product Attribute","Productattribuut Grootboeknummer"
"Default Product Vat Group","Standaard Product BTW Groep"
"Default vat group for line items.","Kies een standaard BTW Groep voor producten."
"Product Vat Group Mapping","Product BTW Groep Koppeling"
"Map the Magento product tax classes with Reeleezee.","Koppel uw internet BTW klassen aan Reeleezee."
"Default Line Item Vat Code","Standaard Factuur-regel BTW Code"
"Default vat code for line items.","Standaard BTW code voor factuur-regels."
"Line Item Vat Code Mapping","Factuur-regel BTW Code Koppeling"
"Map the Magento product tax classes and customer groups with Reeleezee.","Leg een koppeling tussen uw interne Magento product BTW klassen, klantengroepen en Reeleezee BTW codes."
"Invoice","Factuur"
"Paid with %s","Betaald met %s"
"Settings for the Reeleezee invoice appearance. This does NOT change the Magento invoice.","Instellingen voor de Reeleezee factuur, NIET voor de Magento factuur."
"Default Unit Code","Standaard Eenheid"
"Select the default unit code.","Selecteer de standaard eenheid."
"Unit Code Product Attribute","Productattribuut Eenheid"
"Select the unit code product attribute, otherwise leave to Always use default.","Indien u een product-attribuut gebruikt voor de eenheid, selecteer het dan uit deze lijst. Laat anders op 'Altijd standaard gebruiken' staan."
"Default Due Days","Standaard Betalingstermijn (dagen)"
"You must enter a default number for the Invoice Due Days, e.g. 30.","U moet een standaard betalingstermijn opgeven voor Reeleezee facturen, bijv. 30."
"Header Text","Header Tekst"
"Header text for the invoice.","Header tekst voor op de factuur."
"Bottom Text","Bottom Tekst"
"Bottom text for the invoice (single line).","Voetregel tekst voor op de factuur (1 regel)."
"Pagebreak Per Items","Pagina-einde Per Hoeveel Items"
"After how many line items do you want to insert a pagebreak? Enter 0 for no breaks.","Wilt u een pagina-einde invoegen na specifiek aantal items? Vul een getal in. Hanteer 0 voor geen (automatisch)."
"Import Invoice #%s for Order #%s","Importeer Factuur #%s voor Bestelling #%s"
"Magento - %s - %s","Magento - %s - %s"
"Nomen Nescio","Naam Onbekend"
"Shipping cost","Verzendkosten"
"Failure: Reeleezee import failed. You need to enter this invoice manually in your Reeleezee administration.","Error: Reeleezee import mislukt. U dient deze factuur handmatig in te voeren in uw administratie."
"Success: Reeleezee import succeeded.","Succes: Reeleezee import geslaagd."
"Exception: Reeleezee import failed. You need to enter this invoice manually in your Reeleezee administration.","Uitzondering: Reeleezee import mislukt. U dient deze factuur handmatig in te voeren in uw administratie."
"Magento Invoice Number","Magento Factuurnummer"
"Order Number","Bestelnummer"
"Merchant Country","Land Verkoper"
"Non-EU Customer Vat Code","BTW Code Klant Buiten EU"
"Import Mode","Import Modus"
"Booking Mode","Boekmodus"
"Automatic and manual","Automatisch en handmatig"
"Manual only","Alleen handmatig"
"Invoice Concept","Conceptfactuur"
"Test Mode","Test Modus"
"Debug Mode","Debug Modus"
"Import Product Prices","Importeer productprijzen"
"Does not influence invoice prices.","Beïnvloedt productprijzen niet."
